epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6368,1.66296,4.2625,1.82147,0.47033,0.29985,0.33433,0.14037,1.60469,5.18582,1.95398,0.000215794,0.000215794,0.000215794
2,57.6369,1.5065,2.52274,1.61373,0.32563,0.39605,0.34175,0.1594,1.68257,2.76989,2.11145,0.000427284,0.000427284,0.000427284
3,75.1631,1.51621,2.26346,1.59984,0.36971,0.63489,0.49515,0.20186,1.84755,2.71265,2.43378,0.000627768,0.000627768,0.000627768
4,90.8087,1.49333,2.03634,1.58079,0.47519,0.57219,0.54092,0.25291,1.83653,2.25135,2.30432,0.000617475,0.000617475,0.000617475
5,107.119,1.50448,1.97002,1.58203,0.66757,0.28411,0.39695,0.18363,1.97094,2.7343,2.28837,0.000600967,0.000600967,0.000600967
6,123.885,1.45384,1.91714,1.59267,0.32529,0.50286,0.46016,0.26566,1.84261,2.48795,2.23171,0.000584459,0.000584459,0.000584459
7,141.401,1.45179,1.75426,1.55715,0.43174,0.43881,0.49814,0.26041,1.90348,2.29356,2.25604,0.00056795,0.00056795,0.00056795
8,158.98,1.42626,1.72153,1.56297,0.40469,0.53586,0.41988,0.21835,1.9608,2.40755,2.23085,0.000551442,0.000551442,0.000551442
9,175.24,1.46022,1.75183,1.53731,0.58061,0.46266,0.64559,0.34184,1.62173,1.84738,1.9182,0.000534934,0.000534934,0.000534934
10,190.758,1.42895,1.7079,1.52478,0.55622,0.49819,0.56869,0.28129,1.66532,2.06916,2.00712,0.000518426,0.000518426,0.000518426
11,207.741,1.41754,1.59071,1.52115,0.56041,0.6056,0.63967,0.36948,1.81728,1.69407,2.1046,0.000501917,0.000501917,0.000501917
12,224.061,1.4183,1.52442,1.5173,0.568,0.7776,0.72988,0.41083,1.56333,1.43663,1.86237,0.000485409,0.000485409,0.000485409
13,240.947,1.33488,1.47008,1.46008,0.62839,0.65806,0.68336,0.36347,1.61663,1.61523,1.85366,0.000468901,0.000468901,0.000468901
14,257.927,1.32499,1.41438,1.46214,0.66967,0.69643,0.6687,0.3837,1.49149,1.63049,1.79298,0.000452393,0.000452393,0.000452393
15,274.464,1.35449,1.41243,1.49547,0.68981,0.63724,0.76059,0.43223,1.61406,1.38925,1.95307,0.000435884,0.000435884,0.000435884
16,291.967,1.28077,1.34239,1.441,0.74093,0.66579,0.74834,0.42174,1.51043,1.49585,1.87251,0.000419376,0.000419376,0.000419376
17,307.89,1.28558,1.32353,1.42588,0.69175,0.69691,0.74977,0.42164,1.49077,1.35871,1.79377,0.000402868,0.000402868,0.000402868
18,325.211,1.25953,1.27315,1.41867,0.74091,0.76454,0.7903,0.4573,1.44167,1.23204,1.69916,0.00038636,0.00038636,0.00038636
19,341.874,1.26926,1.30438,1.43849,0.83068,0.69902,0.8089,0.50046,1.44646,1.27471,1.70946,0.000369851,0.000369851,0.000369851
20,358.433,1.21348,1.15511,1.42237,0.50959,0.74694,0.69401,0.40147,1.66372,1.45145,1.94453,0.000353343,0.000353343,0.000353343
21,374.657,1.22887,1.20091,1.39334,0.71087,0.68856,0.73958,0.41686,1.64358,1.25142,1.88131,0.000336835,0.000336835,0.000336835
22,390.794,1.20874,1.11683,1.3672,0.79605,0.73637,0.84348,0.47444,1.41581,1.17262,1.69163,0.000320327,0.000320327,0.000320327
23,408.807,1.23052,1.13712,1.39391,0.77971,0.77835,0.84121,0.53239,1.47161,1.20462,1.72695,0.000303818,0.000303818,0.000303818
24,425.252,1.16458,1.09634,1.35039,0.81705,0.78661,0.83963,0.48985,1.48992,1.25971,1.74122,0.00028731,0.00028731,0.00028731
